Scenario	NumAlleles	Number	GenoError	Code	NumLoc	gtyp.err.assumption	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed	Minutes
allhalf	15	4	l	apABaael	5	d0m0	20	20	NA	NA	0	0	0	2.70000
allhalf	15	4	n	apABaaen	5	d0m0	23	23	2	2	3	0	0	2.40000
allhalf	15	5	h	apABaafh	5	d0m0	17	17	2	2	3	0	0	3.18333
allhalf	15	5	l	apABaafl	5	d0m0	20	20	2	2	3	0	0	2.80000
allhalf	15	5	n	apABaafn	5	d0m0	20	20	6	6	9	0	0	3.01667
allpathalf	15	1	h	apACaabh	5	d0m0	17	17	NA	NA	0	0	0	2.23333
allpathalf	15	1	l	apACaabl	5	d0m0	17	17	2	2	3	0	0	2.85000
allpathalf	15	1	n	apACaabn	5	d0m0	16	16	2	2	3	0	0	3.01667
allpathalf	15	2	h	apACaach	5	d0m0	11	11	NA	NA	0	0	0	2.93333
allpathalf	15	2	l	apACaacl	5	d0m0	16	16	6	6	9	0	0	2.70000
allpathalf	15	2	n	apACaacn	5	d0m0	17	17	4	4	6	0	0	3.00000
